dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-23,2026-09-22 22:00:00,2026-09-23 00:00,212.14,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 22:15:00,2026-09-23 00:15,208.68,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 22:30:00,2026-09-23 00:30,207.51,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 22:45:00,2026-09-23 00:45,204.21,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 23:00:00,2026-09-23 01:00,203.82,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 23:15:00,2026-09-23 01:15,202.95,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 23:30:00,2026-09-23 01:30,201.43,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-22 23:45:00,2026-09-23 01:45,198.14,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 00:00:00,2026-09-23 02:00,199.68,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 00:15:00,2026-09-23 02:15,196.27,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 00:30:00,2026-09-23 02:30,195.57,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 00:45:00,2026-09-23 02:45,195.38,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 01:00:00,2026-09-23 03:00,203.88,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 01:15:00,2026-09-23 03:15,203.74,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 01:30:00,2026-09-23 03:30,202.2,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 01:45:00,2026-09-23 03:45,199.76,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 02:00:00,2026-09-23 04:00,210.48,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 02:15:00,2026-09-23 04:15,210.14,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 02:30:00,2026-09-23 04:30,207.1,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 02:45:00,2026-09-23 04:45,207.35,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 03:00:00,2026-09-23 05:00,208.1,0.0,2026-09-22 09:14:03
2026-09-23,2026-09-23 03:15:00,2026-09-23 05:15,208.23,0.0,2026-09-22 09:14:03
