dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-18,2026-09-17 22:00:00,2026-09-18 00:00,205.32,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 22:15:00,2026-09-18 00:15,201.56,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 22:30:00,2026-09-18 00:30,196.76,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 22:45:00,2026-09-18 00:45,192.2,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 23:00:00,2026-09-18 01:00,190.86,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 23:15:00,2026-09-18 01:15,186.13,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 23:30:00,2026-09-18 01:30,184.28,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-17 23:45:00,2026-09-18 01:45,180.43,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 00:00:00,2026-09-18 02:00,177.32,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 00:15:00,2026-09-18 02:15,172.48,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 00:30:00,2026-09-18 02:30,166.42,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 00:45:00,2026-09-18 02:45,163.48,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 01:00:00,2026-09-18 03:00,157.05,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 01:15:00,2026-09-18 03:15,156.37,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 01:30:00,2026-09-18 03:30,155.52,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 01:45:00,2026-09-18 03:45,154.53,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 02:00:00,2026-09-18 04:00,182.69,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 02:15:00,2026-09-18 04:15,181.55,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 02:30:00,2026-09-18 04:30,180.9,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 02:45:00,2026-09-18 04:45,185.73,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 03:00:00,2026-09-18 05:00,183.46,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 03:15:00,2026-09-18 05:15,186.55,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 03:30:00,2026-09-18 05:30,189.05,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 03:45:00,2026-09-18 05:45,191.33,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 04:00:00,2026-09-18 06:00,201.19,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 04:15:00,2026-09-18 06:15,211.55,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 04:30:00,2026-09-18 06:30,213.48,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 04:45:00,2026-09-18 06:45,215.99,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 05:00:00,2026-09-18 07:00,208.47,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 05:15:00,2026-09-18 07:15,211.48,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 05:30:00,2026-09-18 07:30,212.09,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 05:45:00,2026-09-18 07:45,213.69,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 06:00:00,2026-09-18 08:00,216.53,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 06:15:00,2026-09-18 08:15,221.57,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 06:30:00,2026-09-18 08:30,216.91,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 06:45:00,2026-09-18 08:45,202.98,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 07:00:00,2026-09-18 09:00,179.56,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 07:15:00,2026-09-18 09:15,168.4,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 07:30:00,2026-09-18 09:30,145.0,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 07:45:00,2026-09-18 09:45,119.62,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 08:00:00,2026-09-18 10:00,120.85,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 08:15:00,2026-09-18 10:15,102.81,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 08:30:00,2026-09-18 10:30,92.72,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 08:45:00,2026-09-18 10:45,77.19,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 09:00:00,2026-09-18 11:00,103.42,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 09:15:00,2026-09-18 11:15,86.52,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 09:30:00,2026-09-18 11:30,74.01,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 09:45:00,2026-09-18 11:45,46.83,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 10:00:00,2026-09-18 12:00,78.22,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 10:15:00,2026-09-18 12:15,68.49,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 10:30:00,2026-09-18 12:30,64.02,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 10:45:00,2026-09-18 12:45,52.11,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 11:00:00,2026-09-18 13:00,33.11,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 11:15:00,2026-09-18 13:15,22.88,0.0,2026-09-17 09:13:38
2026-09-18,2026-09-18 11:30:00,2026-09-18 13:30,19.62,0.002,2026-09-17 09:13:38
2026-09-18,2026-09-18 11:45:00,2026-09-18 13:45,18.22,0.004,2026-09-17 09:13:38
2026-09-18,2026-09-18 12:00:00,2026-09-18 14:00,19.05,0.004,2026-09-17 09:13:38
2026-09-18,2026-09-18 12:15:00,2026-09-18 14:15,18.4,0.005,2026-09-17 09:13:38
2026-09-18,2026-09-18 12:30:00,2026-09-18 14:30,18.1,0.007,2026-09-17 09:13:38
2026-09-18,2026-09-18 12:45:00,2026-09-18 14:45,18.49,0.011,2026-09-17 09:13:38
2026-09-18,2026-09-18 13:00:00,2026-09-18 15:00,21.38,0.075,2026-09-17 09:13:38
2026-09-18,2026-09-18 13:15:00,2026-09-18 15:15,21.05,0.092,2026-09-17 09:13:38
2026-09-18,2026-09-18 13:30:00,2026-09-18 15:30,22.23,0.081,2026-09-17 09:13:38
2026-09-18,2026-09-18 13:45:00,2026-09-18 15:45,22.84,0.068,2026-09-17 09:13:38
