dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-16,2026-09-15 22:00:00,2026-09-16 00:00,197.89,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 22:15:00,2026-09-16 00:15,195.76,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 22:30:00,2026-09-16 00:30,191.77,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 22:45:00,2026-09-16 00:45,188.45,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 23:00:00,2026-09-16 01:00,182.88,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 23:15:00,2026-09-16 01:15,176.52,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 23:30:00,2026-09-16 01:30,171.68,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-15 23:45:00,2026-09-16 01:45,169.72,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 00:00:00,2026-09-16 02:00,170.93,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 00:15:00,2026-09-16 02:15,167.54,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 00:30:00,2026-09-16 02:30,166.39,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 00:45:00,2026-09-16 02:45,164.76,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 01:00:00,2026-09-16 03:00,173.17,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 01:15:00,2026-09-16 03:15,172.55,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 01:30:00,2026-09-16 03:30,171.94,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 01:45:00,2026-09-16 03:45,168.78,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 02:00:00,2026-09-16 04:00,169.53,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 02:15:00,2026-09-16 04:15,166.09,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 02:30:00,2026-09-16 04:30,163.12,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 02:45:00,2026-09-16 04:45,160.32,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 03:00:00,2026-09-16 05:00,182.01,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 03:15:00,2026-09-16 05:15,179.93,0.0,2026-09-15 09:13:43
2026-09-16,2026-09-16 03:30:00,2026-09-16 05:30,180.78,0.0,2026-09-15 09:13:43
