dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-26,2026-09-25 22:00:00,2026-09-26 00:00,190.85,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 22:15:00,2026-09-26 00:15,189.62,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 22:30:00,2026-09-26 00:30,186.65,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 22:45:00,2026-09-26 00:45,182.45,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 23:00:00,2026-09-26 01:00,186.06,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 23:15:00,2026-09-26 01:15,184.54,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 23:30:00,2026-09-26 01:30,180.84,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-25 23:45:00,2026-09-26 01:45,179.42,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 00:00:00,2026-09-26 02:00,191.89,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 00:15:00,2026-09-26 02:15,188.78,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 00:30:00,2026-09-26 02:30,190.11,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 00:45:00,2026-09-26 02:45,189.5,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 01:00:00,2026-09-26 03:00,190.34,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 01:15:00,2026-09-26 03:15,188.21,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 01:30:00,2026-09-26 03:30,187.76,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 01:45:00,2026-09-26 03:45,185.57,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 02:00:00,2026-09-26 04:00,187.24,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 02:15:00,2026-09-26 04:15,186.91,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 02:30:00,2026-09-26 04:30,184.97,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 02:45:00,2026-09-26 04:45,184.95,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 03:00:00,2026-09-26 05:00,190.06,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 03:15:00,2026-09-26 05:15,190.05,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 03:30:00,2026-09-26 05:30,188.08,0.0,2026-09-25 09:13:16
2026-09-26,2026-09-26 03:45:00,2026-09-26 05:45,188.3,0.0,2026-09-25 09:13:16
