dia_entrega,inicio_utc,inicio_local,precio_previsto,prob_precio_cero,emitida_utc
2026-09-24,2026-09-23 22:00:00,2026-09-24 00:00,209.75,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 22:15:00,2026-09-24 00:15,207.53,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 22:30:00,2026-09-24 00:30,204.84,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 22:45:00,2026-09-24 00:45,202.31,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 23:00:00,2026-09-24 01:00,203.32,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 23:15:00,2026-09-24 01:15,200.54,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 23:30:00,2026-09-24 01:30,199.76,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-23 23:45:00,2026-09-24 01:45,198.34,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 00:00:00,2026-09-24 02:00,208.86,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 00:15:00,2026-09-24 02:15,204.29,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 00:30:00,2026-09-24 02:30,203.7,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 00:45:00,2026-09-24 02:45,203.24,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 01:00:00,2026-09-24 03:00,202.8,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 01:15:00,2026-09-24 03:15,200.68,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 01:30:00,2026-09-24 03:30,200.49,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 01:45:00,2026-09-24 03:45,199.51,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 02:00:00,2026-09-24 04:00,207.93,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 02:15:00,2026-09-24 04:15,207.81,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 02:30:00,2026-09-24 04:30,207.81,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 02:45:00,2026-09-24 04:45,210.74,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 03:00:00,2026-09-24 05:00,206.56,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 03:15:00,2026-09-24 05:15,203.56,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 03:30:00,2026-09-24 05:30,208.25,0.0,2026-09-23 09:14:51
2026-09-24,2026-09-24 03:45:00,2026-09-24 05:45,208.93,0.0,2026-09-23 09:14:51
